epoch loss time_used
lr=0.001
0 159.1268714050954 372.15923023223877
1 128.33389345575327 370.4877200126648
2 122.41235109184623 372.2513632774353
3 118.07807591847995 371.52760195732117
4 115.10930914482915 372.0816082954407
5 111.25057900769616 371.8795883655548
6 108.25737960760344 367.8953170776367
7 104.83022479115841 367.6802315711975
8 102.38228086616158 366.9853937625885
9 100.27307043523135 367.86281967163086
10 98.24341974361708 367.8906662464142
11 96.13689795814267 366.74372005462646
12 94.16683122655544 367.33253169059753
13 92.57885213363042 369.25278902053833
14 90.56664762255947 368.3706376552582
15 88.89593521007993 367.5551359653473
16 87.31462697604073 368.6670033931732
17 86.22175123028806 367.756219625473
18 84.30020251773324 366.3882257938385
19 83.63015988071042 366.7903778553009
20 82.25744434728519 367.11434674263
21 81.39349062262029 366.75814628601074
22 80.22051143990527 366.6583397388458
23 79.08620078296867 366.59823656082153
24 77.66858557415352 366.72393679618835
25 76.93487188015604 366.932204246521
26 75.43530575032699 367.91841769218445
27 74.63476558368559 367.8352439403534
28 73.24075406897369 368.62146520614624
29 72.55280330120871 369.41708850860596
lr=0.00001
40 57.7480207918353 375.21350932121277
41 57.96932615700181 370.80152678489685
42 57.690515084387165 371.5859320163727
43 57.9622442748142 369.88568687438965
44 57.24901302626847 369.75035095214844
